flightTime,trackId,state,battery,speed
2026-06-04 10:00:00.000,drone_001,TAKEOFF,100.0,191.16
2026-06-04 10:00:00.000,drone_002,TAKEOFF,95.0,175.68
2026-06-04 10:00:01.000,drone_001,TAKEOFF,99.9,197.33
2026-06-04 10:00:01.000,drone_002,TAKEOFF,94.9,184.75
2026-06-04 10:00:02.000,drone_001,TAKEOFF,99.9,192.44
2026-06-04 10:00:02.000,drone_002,TAKEOFF,94.9,171.68
2026-06-04 10:00:03.000,drone_001,TAKEOFF,99.8,195.43
2026-06-04 10:00:03.000,drone_002,TAKEOFF,94.8,172.02
2026-06-04 10:00:04.000,drone_001,TAKEOFF,99.7,207.26
2026-06-04 10:00:04.000,drone_002,TAKEOFF,94.7,173.91
2026-06-04 10:00:05.000,drone_001,TAKEOFF,99.7,201.23
2026-06-04 10:00:05.000,drone_002,TAKEOFF,94.7,175.7
2026-06-04 10:00:06.000,drone_001,TAKEOFF,99.6,194.58
2026-06-04 10:00:06.000,drone_002,TAKEOFF,94.6,185.78
2026-06-04 10:00:07.000,drone_001,TAKEOFF,99.5,198.54
2026-06-04 10:00:07.000,drone_002,TAKEOFF,94.5,187.64
2026-06-04 10:00:08.000,drone_001,TAKEOFF,99.5,197.27
2026-06-04 10:00:08.000,drone_002,TAKEOFF,94.5,175.17
2026-06-04 10:00:09.000,drone_001,TAKEOFF,99.4,199.79
2026-06-04 10:00:09.000,drone_002,TAKEOFF,94.4,174.32
2026-06-04 10:00:10.000,drone_001,TAKEOFF,99.3,203.55
2026-06-04 10:00:10.000,drone_002,TAKEOFF,94.3,173.45
2026-06-04 10:00:11.000,drone_001,TAKEOFF,99.3,203.2
2026-06-04 10:00:11.000,drone_002,TAKEOFF,94.3,185.19
2026-06-04 10:00:12.000,drone_001,TAKEOFF,99.2,202.84
2026-06-04 10:00:12.000,drone_002,TAKEOFF,94.2,184.05
2026-06-04 10:00:13.000,drone_001,TAKEOFF,99.1,206.98
2026-06-04 10:00:13.000,drone_002,TAKEOFF,94.1,184.92
2026-06-04 10:00:14.000,drone_001,TAKEOFF,99.1,201.54
2026-06-04 10:00:14.000,drone_002,TAKEOFF,94.1,180.03
2026-06-04 10:00:15.000,drone_001,TAKEOFF,99.0,196.34
2026-06-04 10:00:15.000,drone_002,TAKEOFF,94.0,182.23
2026-06-04 10:00:16.000,drone_001,TAKEOFF,98.9,197.19
2026-06-04 10:00:16.000,drone_002,TAKEOFF,93.9,171.13
2026-06-04 10:00:17.000,drone_001,TAKEOFF,98.9,196.76
2026-06-04 10:00:17.000,drone_002,TAKEOFF,93.9,188.58
2026-06-04 10:00:18.000,drone_001,TAKEOFF,98.8,205.4
2026-06-04 10:00:18.000,drone_002,TAKEOFF,93.8,186.7
2026-06-04 10:00:19.000,drone_001,TAKEOFF,98.7,191.57
2026-06-04 10:00:19.000,drone_002,TAKEOFF,93.7,173.56
2026-06-04 10:00:20.000,drone_001,TAKEOFF,98.7,198.39
2026-06-04 10:00:20.000,drone_002,TAKEOFF,93.7,172.3
2026-06-04 10:00:21.000,drone_001,TAKEOFF,98.6,190.91
2026-06-04 10:00:21.000,drone_002,TAKEOFF,93.6,188.96
2026-06-04 10:00:22.000,drone_001,TAKEOFF,98.5,197.76
2026-06-04 10:00:22.000,drone_002,TAKEOFF,93.5,180.82
2026-06-04 10:00:23.000,drone_001,TAKEOFF,98.5,203.93
2026-06-04 10:00:23.000,drone_002,TAKEOFF,93.5,185.29
2026-06-04 10:00:24.000,drone_001,TAKEOFF,98.4,196.82
2026-06-04 10:00:24.000,drone_002,TAKEOFF,93.4,176.89
2026-06-04 10:00:25.000,drone_001,TAKEOFF,98.3,209.0
2026-06-04 10:00:25.000,drone_002,TAKEOFF,93.3,183.49
2026-06-04 10:00:26.000,drone_001,TAKEOFF,98.3,191.15
2026-06-04 10:00:26.000,drone_002,TAKEOFF,93.3,180.45
2026-06-04 10:00:27.000,drone_001,TAKEOFF,98.2,208.94
2026-06-04 10:00:27.000,drone_002,TAKEOFF,93.2,176.3
2026-06-04 10:00:28.000,drone_001,TAKEOFF,98.1,204.92
2026-06-04 10:00:28.000,drone_002,TAKEOFF,93.1,174.0
2026-06-04 10:00:29.000,drone_001,TAKEOFF,98.1,203.91
2026-06-04 10:00:29.000,drone_002,TAKEOFF,93.1,176.89
